Club,Average_Age,Average_potential,Highest_Paid_Player,Highest_Paid_Wage(Euros),Position,Total_Players,Country_with_most_players
 SSV Jahn Regensburg,25.65517241,69.31034483,S. Stolze,9,ST,29,Portugal
1. FC Heidenheim 1846,24,71.92857143,V. Eicher,7,ST,28,Germany
1. FC Kaiserslautern,23.84615385,69.88461538,W. Hesl,4,ST,26,Turkey
1. FC Köln,24.32142857,76.57142857,Y. Bisseck,9,ST,28,United States
1. FC Magdeburg,24.69230769,70.34615385,T. Müller,8,ST,26,Serbia
1. FC Nürnberg,23.79310345,74.93103448,Y. Kubo,9,ST,29,Sweden
1. FC Union Berlin,25.25,73.35714286,Torrejón,9,ST,28,Sweden
1. FSV Mainz 05,23.6875,77.28125,S. Bell,8,ST,32,Sweden
AC Ajaccio,27.04347826,69.7826087,Y. Boé-Kane,7,ST,23,Haiti
AC Horsens,25,65.8,T. Rohde,5,ST,25,Norway
AD Alcorcón,26.89655172,70.5862069,Álvaro Peña,9,ST,29,Spain
ADO Den Haag,24.67857143,71.21428571,Zhang Yuning,9,ST,28,Uganda
AEK Athens,24.53571429,75.25,V. Lampropoulos,1,ST,28,Ukraine
AFC Wimbledon,23.61538462,67.11538462,W. Nightingale,5,ST,26,New Zealand
AIK,26.07407407,69.62962963,T. Elyounoussi,9,ST,27,Sweden
AJ Auxerre,25.18518519,72.48148148,Y. Merdji,7,ST,27,United States
AS Béziers,25.76923077,65.80769231,Y. Marillat,4,ST,26,Togo
AS Monaco,23.06060606,80.93939394,Y. Tielemans,86,ST,33,Switzerland
AS Nancy Lorraine,24.93333333,70.46666667,Y. Mabella,4,ST,30,Senegal
AS Saint-Étienne,25.41666667,74.66666667,Y. Salibur,9,ST,24,Slovenia
AZ Alkmaar,23.06666667,76.5,T. Ouwejan,9,ST,30,Romania
Aalborg BK,23.37037037,69.96296296,W. Ali,8,ST,27,United States
Aarhus GF,23.77777778,67.62962963,Óscar Whalley,8,ST,27,Ukraine
Aberdeen,24.14814815,71.77777778,T. Černý,9,ST,27,Wales
Accrington Stanley,24.82142857,66.75,W. Wood,8,ST,28,Trinidad & Tobago
Adelaide United,24.36,67.6,V. Lia,4,ST,25,Spain
Ajax,22.3,80.2,Z. Labyad,9,ST,30,Serbia
Akhisar Belediyespor,29.26923077,70.30769231,Y. Seleznyov,7,ST,26,Ukraine
Al Ahli,25.93333333,70.33333333,Y. Al Qarni,8,ST,30,Syria
Al Batin,25.1,64.9,Y. Al Shammari,7,ST,30,Saudi Arabia
Al Faisaly,26.43333333,66.3,Y. Al Bakr,9,ST,30,Trinidad & Tobago
Al Fateh,24.89285714,65.64285714,Y. Hamza,8,ST,28,Uruguay
Al Fayha,26.28571429,67.25,T. Bu Haymid,9,ST,28,Saudi Arabia
Al Hazem,25.53333333,64.76666667,Y. Kalfa,8,ST,30,Syria
Al Hilal,26.73333333,71.7,Y. Al Shahrani,8,ST,30,Venezuela
Al Ittihad,25.33333333,70.8,Z. Al Sahafi,9,ST,30,Serbia
Al Nassr,26.27586207,69.34482759,Y. Al Shehri,9,ST,29,Saudi Arabia
Al Qadisiyah,24.9,67.56666667,Élton,9,ST,30,Saudi Arabia
Al Raed,25.53333333,65.53333333,Y. Otayn,9,ST,30,Saudi Arabia
Al Shabab,24.3,69.13333333,W. Al Anazi,7,ST,30,Tunisia
Al Taawoun,26.17241379,66.37931034,Y. Khormi,8,ST,29,Syria
Al Wehda,24.8,69.43333333,W. Bakhashwain,6,ST,30,Venezuela
Alanyaspor,27.2,71.53333333,Welinton,9,ST,30,Turkey
Albacete BP,24.5,72.4,Ángel,9,ST,30,Uruguay
Alianza Petrolera,25.07142857,68.35714286,Y. Hurtado,2,ST,28,Paraguay
Amiens SC,24.31034483,74.4137931,V. Gendrey,8,ST,29,Sweden
América FC (Minas Gerais),28.6,70.15,Túlio Sandoiro,7,ST,20,Brazil
América de Cali,26.57142857,68.92857143,Y. Rivera,22,ST,28,Venezuela
Angers SCO,25.93333333,73.93333333,Z. Boucher,9,ST,30,Spain
Antalyaspor,26.8,70.8,Z. Yıldırım,9,ST,30,Turkey
Argentinos Juniors,23.75,72.10714286,R. Bobadilla,9,ST,28,Uruguay
Arka Gdynia,25.44444444,66.40740741,T. Socha,4,ST,27,Slovenia
Arsenal,24.60606061,81.39393939,Z. Medley,99,ST,33,Wales
Ascoli,24.83333333,70.1,T. Kupisz,6,ST,30,Serbia
Aston Villa,25.36666667,74.06666667,Y. Bolasie,8,ST,30,Wales
Atalanta,24.54166667,78.45833333,T. Castagne,8,ST,24,Switzerland
Athletic Club de Bilbao,24.77419355,79.35483871,Álex Remiro,8,ST,31,Spain
Atiker Konyaspor,27.14814815,72.14814815,Y. Opanasenko,9,ST,27,Ukraine
Atlanta United,24.79310345,72.75862069,S. Zizzo,8,ST,29,Venezuela
Atlético Bucaramanga,26.42857143,68.75,Y. Filigrana,5,ST,28,Venezuela
Atlético Huila,23.78571429,69.42857143,T. Maya,2,ST,28,Venezuela
Atlético Madrid,23.75757576,82.45454545,Óscar Pinchi,94,ST,33,Uruguay
Atlético Mineiro,28.8,73.45,Tiago Pombeira,60,ST,20,Brazil
Atlético Nacional,24.53571429,73.78571429,Y. Góez,6,ST,28,Colombia
Atlético Paranaense,30.4,69.6,Vágner Corraldo,9,ST,20,Brazil
Atlético Tucumán,27.78571429,71.42857143,Y. Cabral,9,ST,28,Uruguay
Audax Italiano,23.78571429,70.53571429,Sergio Santos,3,ST,28,Uruguay
BB Erzurumspor,27.2,67.2,T. Ünlü,9,ST,25,Turkey
BK Häcken,25.44444444,67.74074074,V. Lundberg,5,ST,27,Sweden
BSC Young Boys,24.08333333,74.41666667,U. Garcia,9,ST,24,Switzerland
Bahia,30,70.1,Victorino Magela,9,ST,20,Brazil
Barnsley,22.10714286,70.96428571,V. Adeboyejo,6,ST,28,Wales
Bayer 04 Leverkusen,24.34615385,81,Wendell,82,ST,26,Sweden
Beijing Renhe FC,27.21428571,63.42857143,Zhu Baojie,5,ST,28,Senegal
Beijing Sinobo Guoan FC,26.21428571,68.14285714,Zhang Yu,9,ST,28,Spain
Belgrano de Córdoba,24.92592593,71.48148148,W. Altamirano,8,ST,27,Uruguay
Benevento,26.88,72.16,Raul Asencio,5,ST,25,Spain
Beşiktaş JK,26.46428571,77.03571429,Vágner Love,80,ST,28,Turkey
Birmingham City,25.2,71.93333333,W. Harding,8,ST,30,Spain
Blackburn Rovers,23.76666667,72.06666667,W. Tomlinson,8,ST,30,Spain
Blackpool,24.67857143,67.07142857,S. Davies,5,ST,28,St Kitts Nevis
Boavista FC,26.25925926,71.77777778,Y. Njie,9,ST,27,Senegal
Boca Juniors,25.81481481,78.14814815,W. Barrios,8,ST,27,Uruguay
Bohemian FC,21.48,64.24,S. Bohan,1,ST,25,Romania
Bologna,25.46428571,78.17857143,Vinicius,9,ST,28,Switzerland
Bolton Wanderers,27.46666667,69.03333333,Y. Wildschut,8,ST,30,Wales
Borussia Dortmund,23.09090909,82.39393939,T. Matthews,8,ST,33,United States
Borussia Mönchengladbach,24.23333333,79.56666667,Y. Sommer,9,ST,30,United States
Botafogo,30.4,71.3,Welson Leima,9,ST,20,Brazil
Bournemouth,24.375,75.9375,T. Mings,77,ST,32,Wales
Boyacá Chicó FC,24.96428571,65.25,Y. Requena,1,ST,28,Venezuela
Bradford City,24.96428571,67.5,T. Robinson,9,ST,28,Zimbabwe
Bray Wanderers,22.2173913,62.60869565,S. Heaney,1,RWB,23,Republic of Ireland
Brentford,22.53333333,73.53333333,Y. Barbet,9,ST,30,Wales
Brescia,23.6,71.9,S. Tonali,8,ST,30,Switzerland
Brighton & Hove Albion,25.25,76.375,Y. Bissouma,9,ST,32,Sweden
Brisbane Roar,26.69565217,67.65217391,T. Mikkelsen,7,ST,23,Spain
Bristol City,24.3,72.9,T. Kalas,9,ST,30,Wales
Bristol Rovers,25.14285714,64.67857143,T. Nichols,4,ST,28,Wales
Brøndby IF,24.40740741,70.7037037,U. Bech,9,ST,27,Sweden
Burnley,25.75757576,74.39393939,T. Heaton,8,ST,33,Wales
Bursaspor,24.33333333,73.6,Y. Erdoğan,9,ST,30,Turkey
Burton Albion,25.17857143,68.14285714,W. Miller,7,ST,28,Scotland
Bury,25.64285714,65.82142857,W. Aimson,6,ST,28,Wales
CA Osasuna,26.2,72.72,Xisco,9,ST,25,Spain
CD Antofagasta,25.71428571,69.03571429,T. Asta-Buruaga,5,ST,28,Venezuela
CD Aves,26.96428571,71.35714286,Vítor Gomes,9,ST,28,Portugal
CD Everton de Viña del Mar,24.11111111,69.55555556,S. Leyton,6,ST,27,Uruguay
CD Feirense,26.57692308,71.30769231,Zé Pedro,9,ST,26,Portugal
CD Huachipato,22.85185185,69.40740741,Y. Urra,7,ST,27,Venezuela
CD Leganés,25.21212121,75.78787879,Óscar,9,ST,33,Uruguay
CD Lugo,24.86666667,72.16666667,V. Kravets,8,ST,30,Ukraine
CD Nacional,24.65384615,72.61538462,Witi,9,ST,26,Serbia
CD Numancia,25.5,71.25,Y. Yeboah,8,ST,28,Spain
CD O'Higgins,24.39285714,70.71428571,T. Alarcón,7,ST,28,Uruguay
CD Palestino,25.75,70.28571429,S. Pérez,6,ST,28,Uruguay
CD Tenerife,25.23333333,73.3,Ángel Galván,8,ST,30,Venezuela
CD Tondela,25.2,72.08,Ícaro,6,ST,25,Venezuela
CD Universidad de Concepción,27.51851852,69.62962963,W. Ponce,5,ST,27,Paraguay
CF Rayo Majadahonda,26.03846154,71.5,Óscar Valentín,5,ST,26,Uruguay
CF Reus Deportiu,23.82142857,71.21428571,S. Moore,6,ST,28,Venezuela
Cagliari,28.41666667,75.75,S. Padoin,8,ST,24,Moldova
Cambridge United,24.53571429,63.14285714,T. Knowles,4,ST,28,Republic of Ireland
Cardiff City,26.15151515,71.87878788,S. Morrison,55,ST,33,Wales
Carlisle United,25.08,63.36,T. Parkes,5,ST,25,Wales
Carpi,24.26666667,68.6,Z. Machach,8,ST,30,Slovenia
Ceará Sporting Club,30.2,67.7,Victor Fachinhas,9,ST,20,Brazil
Celtic,25.67857143,76.25,Y. Mulumbu,7,ST,28,Sweden
Central Coast Mariners,24.44,66.6,T. Oar,6,ST,25,Scotland
Cerezo Osaka,27.33333333,66.06666667,Yang Dong Hyen,7,ST,30,Thailand
Chamois Niortais Football Club,22.28571429,70.21428571,Z. Grich,5,ST,28,Senegal
